CustomerID,AOV,PurchaseFrequency,CLTV
12346,77183.6,1,77183.6
12347,615.7142857142857,7,4310.0
12348,449.31,4,1797.24
12349,1757.55,1,1757.55
12350,334.4,1,334.4
12352,313.255,8,2506.04
12353,89.0,1,89.0
12354,1079.4,1,1079.4
12355,459.4,1,459.4
12356,937.1433333333333,3,2811.43
12357,6207.67,1,6207.67
12358,584.03,2,1168.06
12359,1577.5075,4,6310.03
12360,887.3533333333334,3,2662.06
12361,189.9,1,189.9
12362,522.6229999999999,10,5226.23
12363,276.0,2,552.0
12364,328.275,4,1313.1
12365,320.69,2,641.38
12367,168.9,1,168.9
12370,885.485,4,3541.94
12371,943.98,2,1887.96
12372,432.68,3,1298.04
12373,364.6,1,364.6
12374,742.9300000000001,1,742.9300000000001
12375,228.75,2,457.5
12377,814.06,2,1628.12
12378,4008.62,1,4008.62
12379,426.12,2,852.24
12380,681.2025,4,2724.81
12381,369.062,5,1845.31
12383,370.11199999999997,5,1850.56
12384,292.635,2,585.27
12386,200.95,2,401.9
12388,463.4433333333333,6,2780.66
12390,549.84,1,549.84
12391,439.66,1,439.66
12393,395.65000000000003,4,1582.6000000000001
12394,636.24,2,1272.48
12395,251.5525,12,3018.63
12397,1204.95,2,2409.9
12398,1635.6599999999999,1,1635.6599999999999
12399,277.1625,4,1108.65
12401,84.3,1,84.3
12402,225.6,1,225.6
12403,427.7,1,427.7
12405,1710.39,1,1710.39
12406,1707.65,2,3415.3
12407,341.624,5,1708.1200000000001
12408,577.71,5,2888.55
12409,3690.89,3,11072.67
12410,346.66499999999996,2,693.3299999999999
12412,408.96000000000004,3,1226.88
12413,252.70000000000002,3,758.1
12414,187.47,3,562.41
12415,5948.310952380953,21,124914.53
12417,405.4555555555555,9,3649.0999999999995
12418,668.58,1,668.58
12420,600.39,1,600.39
12421,201.76,4,807.04
12422,267.85333333333335,3,803.5600000000001
12423,232.41375,8,1859.31
12424,880.48,2,1760.96
12425,777.2,1,777.2
