CohortMonth,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
01-01-2011,100,14.61,13.48,12.36,19.66,21.91,12.92,15.17,17.42,19.66,22.47,15.73,
01-02-2011,100,9.47,15.26,13.68,13.68,11.05,14.74,17.89,13.16,19.47,13.68,,
01-03-2011,100,7.26,13.25,10.26,10.68,11.97,14.1,10.26,15.81,13.68,,,
01-04-2011,100,12.07,12.93,12.07,12.93,12.07,12.5,15.95,11.21,,,,
01-05-2011,100,16.21,11.07,12.65,12.65,15.02,17.39,9.88,,,,,
01-06-2011,100,9.24,15.22,12.5,9.24,20.65,9.78,,,,,,
01-07-2011,100,11.11,10.37,11.11,14.07,11.11,,,,,,,
01-08-2011,100,15.44,21.32,17.65,13.24,,,,,,,,
01-09-2011,100,13.86,18.67,16.87,,,,,,,,,
01-10-2011,100,14.22,13.36,,,,,,,,,,
01-11-2011,100,16.35,,,,,,,,,,,
01-12-2010,100,19.72,19.25,18.94,20.03,21.74,21.27,18.32,19.41,21.43,22.05,28.11,27.17
01-12-2011,100,,,,,,,,,,,,
