CohortMonth,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
01-01-2011,100.0,14.610000000000001,13.48,12.36,19.66,21.91,12.920000000000002,15.17,17.419999999999998,19.66,22.470000000000002,15.73,
01-02-2011,100.0,9.47,15.260000000000002,13.68,13.68,11.05,14.74,17.89,13.16,19.470000000000002,13.68,,
01-03-2011,100.0,7.26,13.25,10.26,10.68,11.97,14.099999999999998,10.26,15.809999999999999,13.68,,,
01-04-2011,100.0,12.07,12.93,12.07,12.93,12.07,12.5,15.950000000000001,11.21,,,,
01-05-2011,100.0,16.21,11.07,12.65,12.65,15.02,17.39,9.879999999999999,,,,,
01-06-2011,100.0,9.24,15.22,12.5,9.24,20.65,9.78,,,,,,
01-07-2011,100.0,11.110000000000001,10.37,11.110000000000001,14.069999999999999,11.110000000000001,,,,,,,
01-08-2011,100.0,15.440000000000001,21.32,17.65,13.239999999999998,,,,,,,,
01-09-2011,100.0,13.86,18.67,16.869999999999997,,,,,,,,,
01-10-2011,100.0,14.219999999999999,13.36,,,,,,,,,,
01-11-2011,100.0,16.35,,,,,,,,,,,
01-12-2010,100.0,19.72,19.25,18.94,20.03,21.740000000000002,21.27,18.32,19.41,21.43,22.05,28.110000000000003,27.169999999999998
01-12-2011,100.0,,,,,,,,,,,,
