CohortMonth,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
01-01-2011,178.0,26.0,24.0,22.0,35.0,39.0,23.0,27.0,31.0,35.0,40.0,28.0,
01-02-2011,190.0,18.0,29.0,26.0,26.0,21.0,28.0,34.0,25.0,37.0,26.0,,
01-03-2011,234.0,17.0,31.0,24.0,25.0,28.0,33.0,24.0,37.0,32.0,,,
01-04-2011,232.0,28.0,30.0,28.0,30.0,28.0,29.0,37.0,26.0,,,,
01-05-2011,253.0,41.0,28.0,32.0,32.0,38.0,44.0,25.0,,,,,
01-06-2011,184.0,17.0,28.0,23.0,17.0,38.0,18.0,,,,,,
01-07-2011,135.0,15.0,14.0,15.0,19.0,15.0,,,,,,,
01-08-2011,136.0,21.0,29.0,24.0,18.0,,,,,,,,
01-09-2011,166.0,23.0,31.0,28.0,,,,,,,,,
01-10-2011,232.0,33.0,31.0,,,,,,,,,,
01-11-2011,263.0,43.0,,,,,,,,,,,
01-12-2010,644.0,127.0,124.0,122.0,129.0,140.0,137.0,118.0,125.0,138.0,142.0,181.0,175.0
01-12-2011,150.0,,,,,,,,,,,,
