CohortMonth,Country,AOV
01-01-2011,Australia,5059.885200000001
01-01-2011,Belgium,370.11199999999997
01-01-2011,Cyprus,1577.5075
01-01-2011,France,290.2719230769231
01-01-2011,Germany,497.99696969696976
01-01-2011,Spain,870.2188888888888
01-01-2011,Sweden,310.6225
01-01-2011,United Kingdom,461.41636192271443
01-02-2011,Australia,286.75545454545454
01-02-2011,Austria,231.7525
01-02-2011,Belgium,144.0388888888889
01-02-2011,Cyprus,155.05
01-02-2011,France,283.74692307692305
01-02-2011,Germany,1557.8111111111111
01-02-2011,Japan,1003.5799999999999
01-02-2011,Netherlands,3610.154615384615
01-02-2011,Norway,334.4
01-02-2011,Poland,263.166
01-02-2011,Spain,701.9228571428572
01-02-2011,Sweden,221.89833333333334
01-02-2011,Switzerland,346.66499999999996
01-02-2011,United Kingdom,430.21967368421053
01-03-2011,Austria,221.62
01-03-2011,Belgium,419.1022222222222
01-03-2011,Channel Islands,953.1476923076923
01-03-2011,Cyprus,1088.2466666666667
01-03-2011,Finland,884.0511111111111
01-03-2011,France,418.3809523809524
01-03-2011,Germany,399.1107692307692
01-03-2011,Greece,387.31
01-03-2011,Italy,259.7944444444445
01-03-2011,Netherlands,510.48
01-03-2011,Norway,313.255
01-03-2011,Portugal,1395.795
01-03-2011,Spain,270.88
01-03-2011,Sweden,2127.1213333333335
01-03-2011,Switzerland,309.315
01-03-2011,United Kingdom,373.73842374616174
01-04-2011,Belgium,283.1215384615385
01-04-2011,Finland,449.31
01-04-2011,France,1358.1660000000002
01-04-2011,Germany,277.41795454545456
01-04-2011,Greece,515.49
01-04-2011,Italy,433.92499999999995
01-04-2011,Portugal,937.1433333333333
01-04-2011,Singapore,3039.8985714285714
01-04-2011,Spain,309.135
01-04-2011,United Kingdom,371.1681784728611
01-04-2011,Unspecified,276.0
01-05-2011,Bahrain,459.4
01-05-2011,Belgium,297.946
01-05-2011,Canada,534.24
01-05-2011,Denmark,547.36
01-05-2011,France,544.7578571428571
01-05-2011,Germany,823.4535714285714
01-05-2011,Portugal,602.6653846153847
01-05-2011,Switzerland,1288.17
01-05-2011,United Kingdom,343.92974543795617
01-05-2011,Unspecified,519.23
01-06-2011,Belgium,849.0125
01-06-2011,Cyprus,849.45
01-06-2011,Denmark,1707.65
01-06-2011,European Community,325.0625
01-06-2011,France,396.505
01-06-2011,Germany,519.63
01-06-2011,Italy,333.822
01-06-2011,Malta,455.0225
01-06-2011,Netherlands,178.5442857142857
01-06-2011,Spain,572.3974999999999
01-06-2011,Switzerland,3690.89
01-06-2011,United Kingdom,437.98210031347963
01-07-2011,Austria,584.03
01-07-2011,Belgium,462.29
01-07-2011,Canada,980.0133333333333
01-07-2011,EIRE,1085.3025
01-07-2011,France,583.3775
01-07-2011,Germany,427.9266666666667
01-07-2011,Spain,300.32142857142856
01-07-2011,Switzerland,413.44
01-07-2011,United Kingdom,335.5544360902256
01-08-2011,Austria,784.115
01-08-2011,Channel Islands,540.6266666666667
01-08-2011,Denmark,192.405
01-08-2011,Finland,292.605
01-08-2011,France,504.4509090909091
01-08-2011,Germany,674.0945454545455
01-08-2011,Italy,419.908
01-08-2011,Norway,685.077
01-08-2011,Poland,275.88
01-08-2011,Switzerland,1531.2966666666664
01-08-2011,United Kingdom,483.6176072234763
01-09-2011,Australia,193.1
01-09-2011,Belgium,577.71
01-09-2011,Finland,228.75
01-09-2011,France,447.89714285714285
01-09-2011,Germany,428.8636363636364
01-09-2011,Netherlands,154.5533333333333
01-09-2011,Norway,509.01
01-09-2011,Poland,286.1
01-09-2011,Portugal,430.205
01-09-2011,Switzerland,417.36
01-09-2011,United Arab Emirates,506.52
01-09-2011,United Kingdom,435.59070555555553
01-10-2011,Cyprus,331.03
01-10-2011,Czech Republic,413.37
01-10-2011,Finland,550.201
01-10-2011,France,735.0213636363637
01-10-2011,Germany,284.254375
01-10-2011,Israel,66.09
01-10-2011,Netherlands,91.85
01-10-2011,Portugal,892.47
01-10-2011,Switzerland,551.2128571428572
01-10-2011,USA,1579.51
01-10-2011,United Kingdom,342.4522323049002
01-11-2011,Belgium,1204.9499999999998
01-11-2011,France,347.816
01-11-2011,Germany,247.16833333333332
01-11-2011,Italy,218.91
01-11-2011,Portugal,370.98499999999996
01-11-2011,Spain,368.325
01-11-2011,Sweden,407.32
01-11-2011,Switzerland,6207.67
01-11-2011,United Kingdom,361.36387149917624
01-12-2010,Australia,389.938
01-12-2010,Austria,437.98
01-12-2010,Belgium,285.1007142857143
01-12-2010,Channel Islands,363.53
01-12-2010,Denmark,1104.14
01-12-2010,EIRE,1019.2236328125
01-12-2010,France,628.3446491228069
01-12-2010,Germany,475.33131736526946
01-12-2010,Iceland,615.7142857142857
01-12-2010,Italy,427.8
01-12-2010,Japan,2573.542
01-12-2010,Lithuania,415.265
01-12-2010,Netherlands,192.60000000000002
01-12-2010,Norway,1910.8385714285716
01-12-2010,Poland,497.66999999999996
01-12-2010,Portugal,613.1957142857143
01-12-2010,Spain,995.7984615384617
01-12-2010,Switzerland,604.0583333333333
01-12-2010,United Kingdom,489.2361240438975
01-12-2011,Belgium,328.275
01-12-2011,Channel Islands,251.536
01-12-2011,Denmark,168.9
01-12-2011,Finland,144.0
01-12-2011,France,455.9766666666667
01-12-2011,Germany,576.6875
01-12-2011,Greece,680.99
01-12-2011,Portugal,604.2057142857144
01-12-2011,Spain,172.06
01-12-2011,USA,538.9766666666666
01-12-2011,United Kingdom,849.6186813186813
