CohortMonth,Country,Revenue
01-01-2011,United Kingdom,489562.76
01-01-2011,Australia,126497.13
01-01-2011,Spain,23495.91
01-01-2011,Germany,16433.9
01-01-2011,France,15094.14
01-01-2011,Cyprus,6310.03
01-01-2011,Sweden,2484.98
01-01-2011,Belgium,1850.56
01-02-2011,United Kingdom,408708.69
01-02-2011,Netherlands,281592.06
01-02-2011,Germany,14020.300000000001
01-02-2011,Spain,4913.46
01-02-2011,France,3688.71
01-02-2011,Australia,3154.31
01-02-2011,Japan,3010.74
01-02-2011,Sweden,1331.39
01-02-2011,Poland,1315.83
01-02-2011,Belgium,1296.35
01-02-2011,Austria,927.01
01-02-2011,Switzerland,693.3299999999999
01-02-2011,Norway,334.4
01-02-2011,Cyprus,155.05
01-03-2011,United Kingdom,365142.44
01-03-2011,Sweden,31906.82
01-03-2011,Channel Islands,12390.92
01-03-2011,France,8786.0
01-03-2011,Finland,7956.46
01-03-2011,Germany,5188.44
01-03-2011,Belgium,3771.92
01-03-2011,Cyprus,3264.74
01-03-2011,Portugal,2791.59
01-03-2011,Norway,2506.04
01-03-2011,Italy,2338.15
01-03-2011,Spain,1625.28
01-03-2011,Netherlands,1531.44
01-03-2011,Switzerland,618.63
01-03-2011,Austria,443.24
01-03-2011,Greece,387.31
01-04-2011,United Kingdom,403459.81
01-04-2011,Singapore,21279.29
01-04-2011,France,20372.49
01-04-2011,Germany,12206.39
01-04-2011,Belgium,3680.58
01-04-2011,Portugal,2811.43
01-04-2011,Finland,1797.24
01-04-2011,Greece,1030.98
01-04-2011,Italy,867.85
01-04-2011,Spain,618.27
01-04-2011,Unspecified,552.0
01-05-2011,United Kingdom,376947.001
01-05-2011,Germany,23056.7
01-05-2011,France,22879.829999999998
01-05-2011,Switzerland,10305.36
01-05-2011,Portugal,7834.650000000001
01-05-2011,Denmark,2189.44
01-05-2011,Belgium,1489.73
01-05-2011,Unspecified,1038.46
01-05-2011,Canada,534.24
01-05-2011,Bahrain,459.4
01-06-2011,United Kingdom,279432.58
01-06-2011,Switzerland,11072.67
01-06-2011,Germany,10392.6
01-06-2011,Belgium,6792.1
01-06-2011,Spain,4579.18
01-06-2011,Denmark,3415.3
01-06-2011,Italy,3338.2200000000003
01-06-2011,Malta,1820.09
01-06-2011,Cyprus,1698.9
01-06-2011,France,1586.02
01-06-2011,European Community,1300.25
01-06-2011,Netherlands,1249.81
01-07-2011,United Kingdom,133886.22
01-07-2011,Germany,14121.58
01-07-2011,France,7000.53
01-07-2011,Belgium,6934.35
01-07-2011,EIRE,4341.21
01-07-2011,Canada,2940.04
01-07-2011,Spain,2102.25
01-07-2011,Austria,1168.06
01-07-2011,Switzerland,826.88
01-08-2011,United Kingdom,214242.6
01-08-2011,Germany,14830.08
01-08-2011,Norway,6850.77
01-08-2011,France,5548.96
01-08-2011,Switzerland,4593.89
01-08-2011,Finland,2340.84
01-08-2011,Italy,2099.54
01-08-2011,Channel Islands,1621.88
01-08-2011,Austria,1568.23
01-08-2011,Denmark,384.81
01-08-2011,Poland,275.88
01-09-2011,United Kingdom,235218.981
01-09-2011,France,9405.84
01-09-2011,Germany,4717.5
01-09-2011,Belgium,2888.55
01-09-2011,United Arab Emirates,1013.04
01-09-2011,Portugal,860.41
01-09-2011,Poland,572.2
01-09-2011,Norway,509.01
01-09-2011,Netherlands,463.66
01-09-2011,Finland,457.5
01-09-2011,Switzerland,417.36
01-09-2011,Australia,386.2
01-10-2011,United Kingdom,188691.18
01-10-2011,France,16170.470000000001
01-10-2011,Finland,5502.01
01-10-2011,Germany,4548.07
01-10-2011,Switzerland,3858.4900000000002
01-10-2011,USA,1579.51
01-10-2011,Cyprus,993.09
01-10-2011,Portugal,892.47
01-10-2011,Czech Republic,826.74
01-10-2011,Israel,132.18
01-10-2011,Netherlands,91.85
01-11-2011,United Kingdom,219347.87
01-11-2011,Switzerland,6207.67
01-11-2011,France,5217.24
01-11-2011,Germany,2966.02
01-11-2011,Belgium,2409.9
01-11-2011,Portugal,2225.91
01-11-2011,Sweden,1629.28
01-11-2011,Spain,736.65
01-11-2011,Italy,437.82
01-12-2010,United Kingdom,2942266.05
01-12-2010,EIRE,260921.25
01-12-2010,Germany,79380.33
01-12-2010,France,71631.29
01-12-2010,Japan,25735.42
01-12-2010,Norway,13375.87
01-12-2010,Spain,12945.380000000001
01-12-2010,Portugal,8584.74
01-12-2010,Australia,5849.07
01-12-2010,Iceland,4310.0
01-12-2010,Belgium,3991.41
01-12-2010,Poland,3981.36
01-12-2010,Switzerland,3624.35
01-12-2010,Denmark,3312.42
01-12-2010,Lithuania,1661.06
01-12-2010,Austria,437.98
01-12-2010,Italy,427.8
01-12-2010,Channel Islands,363.53
01-12-2010,Netherlands,192.60000000000002
01-12-2011,United Kingdom,309261.2
01-12-2011,Germany,4613.5
01-12-2011,Portugal,4229.44
01-12-2011,USA,1616.93
01-12-2011,France,1367.93
01-12-2011,Belgium,1313.1
01-12-2011,Channel Islands,1257.68
01-12-2011,Greece,680.99
01-12-2011,Spain,172.06
01-12-2011,Denmark,168.9
01-12-2011,Finland,144.0
