CohortMonth,CustomerID,TotalRevenue
01-01-2011,12359,6310.03
01-01-2011,12383,1850.56
01-01-2011,12393,1582.6000000000001
01-01-2011,12413,758.1
01-01-2011,12415,124914.53
01-01-2011,12437,4951.41
01-01-2011,12480,3281.63
01-01-2011,12483,2484.98
01-01-2011,12484,4527.32
01-01-2011,12489,334.93
01-01-2011,12500,4257.82
01-01-2011,12501,2169.39
01-01-2011,12523,1789.77
01-01-2011,12524,4485.72
01-01-2011,12530,1662.28
01-01-2011,12539,5568.35
01-01-2011,12540,13400.24
01-01-2011,12601,577.0600000000001
01-01-2011,12643,3344.64
01-01-2011,12651,114.0
01-01-2011,12652,919.98
01-01-2011,12724,1031.41
01-01-2011,12728,836.33
01-01-2011,12735,779.5699999999999
01-01-2011,12736,234.0
01-01-2011,12829,293.0
01-01-2011,12939,11581.8
01-01-2011,12957,4017.54
01-01-2011,12980,7374.900000000001
01-01-2011,13004,5655.91
01-01-2011,13082,3613.63
01-01-2011,13097,6003.22
01-01-2011,13107,1531.6200000000001
01-01-2011,13144,110.95
01-01-2011,13162,1688.29
01-01-2011,13183,3957.78
01-01-2011,13187,236.02
01-01-2011,13225,6463.84
01-01-2011,13233,605.12
01-01-2011,13253,1030.4
01-01-2011,13280,798.46
01-01-2011,13313,1555.32
01-01-2011,13368,623.4
01-01-2011,13397,1544.13
01-01-2011,13426,3641.32
01-01-2011,13451,2898.2599999999998
01-01-2011,13458,9646.57
01-01-2011,13473,422.64
01-01-2011,13534,5870.08
01-01-2011,13565,240.22
01-01-2011,13593,2011.88
01-01-2011,13629,7792.36
01-01-2011,13656,379.65
01-01-2011,13672,186.39000000000001
01-01-2011,13680,3719.12
01-01-2011,13750,1647.26
01-01-2011,13764,1519.42
01-01-2011,13784,2462.79
01-01-2011,13862,2209.36
01-01-2011,14040,3560.32
01-01-2011,14167,562.59
01-01-2011,14185,197.65
01-01-2011,14209,2073.43
01-01-2011,14221,3432.8
01-01-2011,14229,1547.2
01-01-2011,14258,12669.98
01-01-2011,14270,492.65000000000003
01-01-2011,14298,51527.3
01-01-2011,14312,1611.59
01-01-2011,14320,477.79
01-01-2011,14321,1530.75
01-01-2011,14462,1980.57
01-01-2011,14472,1852.67
01-01-2011,14514,990.2
01-01-2011,14553,859.27
01-01-2011,14587,1580.29
01-01-2011,14618,553.44
01-01-2011,14653,1926.65
01-01-2011,14669,1259.24
01-01-2011,14672,765.55
01-01-2011,14715,867.38
01-01-2011,14732,2702.4900000000002
01-01-2011,14755,5010.28
01-01-2011,14761,255.9
01-01-2011,14794,1319.91
01-01-2011,14828,2139.76
01-01-2011,14867,710.28
01-01-2011,14889,135.9
01-01-2011,15034,4274.16
01-01-2011,15046,5090.42
01-01-2011,15059,1337.72
01-01-2011,15139,178.96
01-01-2011,15164,824.58
01-01-2011,15171,1289.5
01-01-2011,15189,16225.39
01-01-2011,15266,119.3
01-01-2011,15281,2332.15
01-01-2011,15326,311.71
01-01-2011,15346,252.42000000000002
01-01-2011,15370,2386.05
01-01-2011,15379,3703.29
01-01-2011,15464,1044.65
01-01-2011,15518,1921.55
01-01-2011,15569,1375.71
01-01-2011,15607,104.76
01-01-2011,15611,1591.45
01-01-2011,15661,309.8
01-01-2011,15719,5030.07
01-01-2011,15727,5159.06
01-01-2011,15749,44534.3
01-01-2011,15799,884.14
01-01-2011,15841,1224.06
01-01-2011,15845,3711.77
01-01-2011,15939,6115.01
01-01-2011,16034,437.7
01-01-2011,16042,1177.47
01-01-2011,16112,195.73999999999998
01-01-2011,16145,3799.4900000000002
01-01-2011,16191,5180.52
01-01-2011,16235,867.31
01-01-2011,16282,168.3
01-01-2011,16303,5360.63
01-01-2011,16326,3039.2200000000003
01-01-2011,16350,1116.47
01-01-2011,16351,153.9
01-01-2011,16359,1750.92
01-01-2011,16473,316.11
01-01-2011,16497,2965.69
01-01-2011,16532,6748.8
01-01-2011,16549,4034.9
01-01-2011,16551,922.12
