CustomerID,TotalOrders
12346,1
12347,7
12348,4
12349,1
12350,1
12352,8
12353,1
12354,1
12355,1
12356,3
12357,1
12358,2
12359,4
12360,3
12361,1
12362,10
12363,2
12364,4
12365,2
12367,1
12370,4
12371,2
12372,3
12373,1
12374,1
12375,2
12377,2
12378,1
12379,2
12380,4
12381,5
12383,5
12384,2
12386,2
12388,6
12390,1
12391,1
12393,4
12394,2
12395,12
12397,2
12398,1
12399,4
12401,1
12402,1
12403,1
12405,1
12406,2
12407,5
12408,5
12409,3
12410,2
12412,3
12413,3
12414,3
12415,21
12417,9
12418,1
12420,1
12421,4
12422,3
12423,8
12424,2
12425,1
12426,1
12427,3
12428,9
12429,4
12430,1
12431,15
12432,5
12433,7
12434,2
12435,2
12436,1
12437,18
12438,2
12441,1
12442,1
12444,5
12445,1
12446,1
12447,1
12448,1
12449,4
12450,2
12451,5
12452,2
12453,1
12454,1
12455,6
12456,3
12457,7
12458,2
12461,2
12462,2
12463,4
12464,8
12465,2
12468,2
12471,30
12472,7
12473,5
12474,18
12475,1
12476,11
12477,6
12478,1
12479,1
12480,4
12481,10
12483,8
12484,6
12488,3
12489,1
12490,10
12491,1
12492,2
12493,2
12494,7
12497,1
12498,3
12500,11
12501,1
12502,5
12504,2
12506,1
12507,3
12508,2
12509,1
12510,2
12512,2
12513,1
12514,1
12515,1
12516,2
12517,5
12518,5
12519,1
12520,5
12521,1
12522,2
12523,11
12524,8
12526,3
12527,3
12528,6
12530,4
12531,1
12532,1
12534,1
12535,2
12536,3
12538,1
12539,4
12540,17
12541,3
12544,1
12545,2
12546,2
12547,2
12548,1
12550,1
12551,1
12552,2
12553,10
12556,2
12557,5
12558,1
12559,2
12560,3
12561,1
12562,7
12564,1
12565,1
12566,1
12567,10
12569,32
12571,2
12572,2
12573,1
12574,1
12576,5
12577,3
12578,2
12579,1
12580,1
12581,1
12582,2
12583,15
12584,9
12585,2
12586,1
12587,1
12588,1
12589,2
12590,2
12591,1
12592,2
12593,3
12594,10
12596,2
12597,4
12598,8
12599,7
12600,10
12601,5
12602,1
12603,1
12604,2
12607,1
12609,3
12610,5
12611,1
12612,1
12613,5
12614,1
12615,4
12616,2
12617,1
12618,1
12619,9
12620,3
12621,20
12622,1
12623,1
12624,2
12625,2
12626,9
12627,7
12628,3
12630,2
12631,1
12633,4
12635,2
12637,8
12638,1
12639,1
12640,3
12641,1
12642,3
12643,6
12644,1
12645,4
12646,2
12647,12
12648,1
12649,3
12650,1
12651,1
12652,1
12653,2
12654,5
12656,5
12657,4
12658,1
12659,1
12660,1
12662,11
12664,9
12665,1
12667,1
12668,4
12669,3
12670,5
12672,1
12673,2
12674,4
12676,6
12678,12
12679,4
12680,4
12681,22
12682,31
12683,15
12684,7
12685,6
12686,1
12688,1
12689,2
12690,1
12691,6
12693,4
12694,2
12695,4
12697,3
12700,4
12701,2
12702,1
12703,1
12704,8
12705,9
12707,1
12708,10
12709,15
12710,3
