CustomerID,PurchaseFrequency,CohortMonth,FrequencySegment
12346,1,,Low Frequency
12347,7,01-12-2010,High Frequency
12348,4,01-04-2011,Medium Frequency
12349,1,,Low Frequency
12350,1,01-02-2011,Low Frequency
12352,8,01-03-2011,High Frequency
12353,1,,Low Frequency
12354,1,,Low Frequency
12355,1,01-05-2011,Low Frequency
12356,3,01-04-2011,Medium Frequency
12357,1,01-11-2011,Low Frequency
12358,2,01-07-2011,Medium Frequency
12359,4,01-01-2011,Medium Frequency
12360,3,,Medium Frequency
12361,1,,Low Frequency
12362,10,01-07-2011,High Frequency
12363,2,01-04-2011,Medium Frequency
12364,4,01-12-2011,Medium Frequency
12365,2,,Medium Frequency
12367,1,01-12-2011,Low Frequency
12370,4,01-03-2011,Medium Frequency
12371,2,01-10-2011,Medium Frequency
12372,3,01-05-2011,Medium Frequency
12373,1,01-02-2011,Low Frequency
12374,1,,Low Frequency
12375,2,01-09-2011,Medium Frequency
12377,2,,Medium Frequency
12378,1,01-08-2011,Low Frequency
12379,2,,Medium Frequency
12380,4,01-06-2011,Medium Frequency
12381,5,01-08-2011,High Frequency
12383,5,01-01-2011,High Frequency
12384,2,01-08-2011,Medium Frequency
12386,2,01-12-2010,Medium Frequency
12388,6,01-02-2011,High Frequency
12390,1,,Low Frequency
12391,1,,Low Frequency
12393,4,01-01-2011,Medium Frequency
12394,2,01-05-2011,Medium Frequency
12395,12,01-12-2010,High Frequency
12397,2,01-11-2011,Medium Frequency
12398,1,,Low Frequency
12399,4,01-05-2011,Medium Frequency
12401,1,01-02-2011,Low Frequency
12402,1,,Low Frequency
12403,1,,Low Frequency
12405,1,,Low Frequency
12406,2,01-06-2011,Medium Frequency
12407,5,01-07-2011,High Frequency
12408,5,01-09-2011,High Frequency
12409,3,01-06-2011,Medium Frequency
12410,2,01-02-2011,Medium Frequency
12412,3,,Medium Frequency
12413,3,01-01-2011,Medium Frequency
12414,3,01-02-2011,Medium Frequency
12415,21,01-01-2011,High Frequency
12417,9,01-03-2011,High Frequency
12418,1,,Low Frequency
12420,1,01-10-2011,Low Frequency
12421,4,,Medium Frequency
12422,3,01-09-2011,Medium Frequency
12423,8,01-04-2011,High Frequency
12424,2,,Medium Frequency
12425,1,,Low Frequency
12426,1,,Low Frequency
